Name,category,item1,item2,item3,item4,item5,item6,item 7
Spag Bol,redmeat,2~Beef mince,6~spaghetti,3~parmesan cheese,6~Pasata
Tandoori Chicken,spicy,2~chicken thighs 650g,3~Pilau Rice,4~Yogurt,1~Onion,1~Garlic,1~Fresh ginger,5~Tomato Soup
Prawn/Salmon Pasta,fastfood,6~Pasta,12~Frozen Peas,1~Lemon Zest
Pork joint,whitemeat,1~Potatoes,1~Carrots,1~Broccoli
Beef Strogonoff,redmeat,2~2 x Sirloin steak,6~Rice,3~Soured Cream,1~Garlic,1~Onion,1~Mushrooms,5~Dijon Mustard
Roast Chicken,whitemeat,1~Potatoes,12~Frozen Peas,1~Carrots
BBQ Burgers,fastfood,2~Beef Mince 1000g,1~Mixed Salad,1~Potatoes for chips,10~Burger buns
Lasagna,redmeat,4~Chrlie Bingham Lasagna,7~Baked Beans
Steak,redmeat,2~Steaks x 4,1~jacket potatoes,1~corn-on-the-cob
Thai Chicken,spicy,2~Chicken Breasts,3~Coconut rice,6~coconut milk,6~spice pot
Pizza and beans,fastfood,5~Fresh Pizza x 2,7~Baked beans
Salmon,fish,5~Salmon fillets,1~new potatoes,1~carrots,12~frozen peas
Spicy Chicken with soup,fastfood,2~Spicy precooked chicken pieces,4~pasts,5~Chicken soup
